season,current_week,date,game_type,week_num,away_team_id,away_team_name,home_team_id,home_team_name,away_team_score,home_team_score,is_overtime_game,attendance,game_id
2013,Week 1,2013-03-23,REG,1,112,Utah Blaze,214,Pittsburgh Power,64,33,False,8390,5141
2013,Week 1,2013-03-23,REG,1,139,Jacksonville Sharks,12,Tampa Bay Storm,64,55,False,12222,5114
2013,Week 1,2013-03-23,REG,1,99,Philadelphia Soul,21,Arizona Rattlers,52,66,False,8524,5123
2013,Week 1,2013-03-23,REG,1,145,Iowa Barnstormers,64,Chicago Rush,63,41,False,6026,5132
2013,Week 1,2013-03-23,REG,1,25,San Jose SaberCats,218,San Antonio Talons,47,42,False,8161,5150
2013,Week 1,2013-03-24,REG,1,149,Spokane Shock,131,Cleveland Gladiators,67,41,False,7614,5159
2013,Week 1,2013-03-24,REG,1,13,Orlando Predators,66,New Orleans VooDoo,45,51,True,3564,5105
2013,Week 2,2013-03-29,REG,2,139,Jacksonville Sharks,214,Pittsburgh Power,61,35,False,5342,5142
2013,Week 2,2013-03-29,REG,2,21,Arizona Rattlers,112,Utah Blaze,77,49,False,4829,5168
2013,Week 2,2013-03-29,REG,2,13,Orlando Predators,25,San Jose SaberCats,62,65,False,11263,5177
2013,Week 2,2013-03-30,REG,2,145,Iowa Barnstormers,66,New Orleans VooDoo,48,34,False,4751,5106
2013,Week 2,2013-03-30,REG,2,131,Cleveland Gladiators,12,Tampa Bay Storm,47,69,False,10142,5115
2013,Week 2,2013-03-31,REG,2,149,Spokane Shock,64,Chicago Rush,76,61,False,3108,5133
2013,Week 3,2013-04-05,REG,3,149,Spokane Shock,145,Iowa Barnstormers,66,43,False,7218,5186
2013,Week 3,2013-04-05,REG,3,64,Chicago Rush,218,San Antonio Talons,48,41,False,6018,5151
2013,Week 3,2013-04-06,REG,3,139,Jacksonville Sharks,131,Cleveland Gladiators,66,49,False,8862,5160
2013,Week 3,2013-04-06,REG,3,99,Philadelphia Soul,13,Orlando Predators,61,33,False,12248,5200
