season,current_week,date,game_type,week_num,away_team_id,away_team_name,home_team_id,home_team_name,away_team_score,home_team_score,is_overtime_game,attendance,game_id
2005,Week 1,2005-01-28,REG,1,111,Nashville Kats,103,Columbus Destroyers,47,38,False,17171,2732
2005,Week 1,2005-01-28,REG,1,21,Arizona Rattlers,40,Grand Rapids Rampage,58,38,False,10284,2733
2005,Week 1,2005-01-30,REG,1,99,Philadelphia Soul,104,Austin Wranglers,66,35,False,9883,2735
2005,Week 1,2005-01-30,REG,1,98,Colorado Crush,13,Orlando Predators,36,39,False,12370,2736
2005,Week 1,2005-01-30,REG,1,64,Chicago Rush,86,Dallas Desperados,65,66,True,11229,2716
2005,Week 1,2005-01-30,REG,1,25,San Jose SaberCats,12,Tampa Bay Storm,33,63,False,13005,2724
2005,Week 1,2005-01-30,REG,1,66,New Orleans VooDoo,95,Georgia Force,44,46,False,11328,2734
2005,Week 1,2005-01-30,REG,1,44,Los Angeles Avengers,102,Las Vegas Gladiators,37,46,False,10042,2737
2005,Week 2,2005-02-03,REG,2,13,Orlando Predators,21,Arizona Rattlers,51,40,False,10364,2738
2005,Week 2,2005-02-04,REG,2,66,New Orleans VooDoo,111,Nashville Kats,59,34,False,16517,2805
2005,Week 2,2005-02-04,REG,2,95,Georgia Force,44,Los Angeles Avengers,41,46,False,12488,2797
2005,Week 2,2005-02-05,REG,2,40,Grand Rapids Rampage,98,Colorado Crush,56,72,False,15403,2761
2005,Week 2,2005-02-05,REG,2,102,Las Vegas Gladiators,25,San Jose SaberCats,31,66,False,16221,2844
2005,Week 2,2005-02-06,REG,2,104,Austin Wranglers,12,Tampa Bay Storm,45,62,False,10104,2725
2005,Week 2,2005-02-06,REG,2,99,Philadelphia Soul,64,Chicago Rush,41,51,False,16036,2753
2005,Week 2,2005-02-06,REG,2,86,Dallas Desperados,72,New York Dragons,45,55,False,14925,2821
2005,Week 3,2005-02-11,REG,3,12,Tampa Bay Storm,13,Orlando Predators,46,61,False,14478,2829
