season,current_week,date,game_type,week_num,away_team_id,away_team_name,home_team_id,home_team_name,away_team_score,home_team_score,is_overtime_game,attendance,game_id
2000,Preseason Week 1,2000-03-25,PRE,1,25,San Jose SaberCats,47,Oklahoma Wranglers,37,30,False,8566,
2000,Preseason Week 1,2000-03-27,PRE,1,13,Orlando Predators,42,Buffalo Destroyers,46,30,False,6720,
2000,Preseason Week 1,2000-03-27,PRE,1,44,Los Angeles Avengers,21,Arizona Rattlers,54,47,False,11547,
2000,Preseason Week 1,2000-03-29,PRE,1,32,Florida Bobcats,12,Tampa Bay Storm,55,34,False,3956,
2000,Preseason Week 1,2000-03-30,PRE,1,45,Carolina Cobras,10,Albany Firebirds,27,65,False,2646,
2000,Preseason Week 1,2000-03-31,PRE,1,42,Buffalo Destroyers,23,Iowa Barnstormers,50,53,False,6136,
2000,Preseason Week 1,2000-03-31,PRE,1,43,New England SeaWolves,22,Milwaukee Mustangs,42,49,False,9146,
2000,Preseason Week 1,2000-04-01,PRE,1,40,Grand Rapids Rampage,36,Nashville Kats,22,51,False,7351,
2000,Preseason Week 2,2000-04-05,PRE,2,12,Tampa Bay Storm,13,Orlando Predators,13,36,False,9521,
2000,Preseason Week 2,2000-04-06,PRE,2,43,New England SeaWolves,45,Carolina Cobras,39,44,False,8621,
2000,Preseason Week 2,2000-04-06,PRE,2,10,Albany Firebirds,22,Milwaukee Mustangs,51,32,False,8991,
2000,Preseason Week 2,2000-04-07,PRE,2,37,New Jersey Red Dogs,40,Grand Rapids Rampage,62,47,False,5977,
2000,Preseason Week 2,2000-04-07,PRE,2,41,Houston ThunderBears,32,Florida Bobcats,28,38,False,,
2000,Preseason Week 2,2000-04-08,PRE,2,36,Nashville Kats,23,Iowa Barnstormers,38,45,False,4602,1133
2000,Preseason Week 2,2000-04-08,PRE,2,21,Arizona Rattlers,25,San Jose SaberCats,38,45,False,10072,
2000,Preseason Week 2,2000-04-09,PRE,2,47,Oklahoma Wranglers,44,Los Angeles Avengers,48,54,False,15928,
2000,Week 1,2000-04-13,REG,1,10,Albany Firebirds,36,Nashville Kats,76,65,False,11716,878
2000,Week 1,2000-04-14,REG,1,32,Florida Bobcats,45,Carolina Cobras,61,53,False,14123,805
2000,Week 1,2000-04-15,REG,1,44,Los Angeles Avengers,40,Grand Rapids Rampage,31,51,False,8192,879
2000,Week 1,2000-04-15,REG,1,37,New Jersey Red Dogs,13,Orlando Predators,21,38,False,10323,880
2000,Week 1,2000-04-15,REG,1,43,New England SeaWolves,12,Tampa Bay Storm,41,26,False,11224,881
2000,Week 1,2000-04-15,REG,1,42,Buffalo Destroyers,47,Oklahoma Wranglers,51,62,False,12028,883
2000,Week 1,2000-04-15,REG,1,23,Iowa Barnstormers,21,Arizona Rattlers,48,56,False,13137,884
2000,Week 1,2000-04-15,REG,1,41,Houston ThunderBears,25,San Jose SaberCats,14,54,False,14509,882
2000,Week 2,2000-04-20,REG,2,40,Grand Rapids Rampage,22,Milwaukee Mustangs,52,47,False,13006,885
2000,Week 2,2000-04-20,REG,2,45,Carolina Cobras,44,Los Angeles Avengers,58,50,False,10718,886
2000,Week 2,2000-04-21,REG,2,21,Arizona Rattlers,37,New Jersey Red Dogs,48,41,False,5072,887
2000,Week 2,2000-04-21,REG,2,25,San Jose SaberCats,47,Oklahoma Wranglers,64,68,False,8995,888
2000,Week 2,2000-04-22,REG,2,43,New England SeaWolves,10,Albany Firebirds,34,41,False,11769,889
2000,Week 2,2000-04-22,REG,2,23,Iowa Barnstormers,42,Buffalo Destroyers,56,35,False,7894,890
2000,Week 2,2000-04-22,REG,2,12,Tampa Bay Storm,32,Florida Bobcats,30,31,False,3010,891
2000,Week 2,2000-04-22,REG,2,36,Nashville Kats,41,Houston ThunderBears,50,35,False,3803,892
2000,Week 3,2000-04-27,REG,3,13,Orlando Predators,45,Carolina Cobras,56,28,False,12762,893
2000,Week 3,2000-04-28,REG,3,22,Milwaukee Mustangs,41,Houston ThunderBears,57,60,False,2964,894
2000,Week 3,2000-04-28,REG,3,32,Florida Bobcats,36,Nashville Kats,27,34,False,10766,895
2000,Week 3,2000-04-29,REG,3,12,Tampa Bay Storm,10,Albany Firebirds,34,67,False,9644,896
2000,Week 3,2000-04-29,REG,3,42,Buffalo Destroyers,43,New England SeaWolves,31,58,False,7872,898
2000,Week 3,2000-04-29,REG,3,23,Iowa Barnstormers,40,Grand Rapids Rampage,37,39,False,8316,897
2000,Week 3,2000-04-29,REG,3,21,Arizona Rattlers,25,San Jose SaberCats,51,42,False,13409,899
2000,Week 3,2000-05-01,REG,3,47,Oklahoma Wranglers,44,Los Angeles Avengers,59,33,False,9160,900
2000,Week 4,2000-05-04,REG,4,45,Carolina Cobras,12,Tampa Bay Storm,29,50,False,10546,906
2000,Week 4,2000-05-05,REG,4,10,Albany Firebirds,43,New England SeaWolves,49,52,False,5324,901
2000,Week 4,2000-05-05,REG,4,32,Florida Bobcats,13,Orlando Predators,38,51,False,10072,902
2000,Week 4,2000-05-05,REG,4,44,Los Angeles Avengers,47,Oklahoma Wranglers,44,65,False,9668,903
2000,Week 4,2000-05-06,REG,4,37,New Jersey Red Dogs,42,Buffalo Destroyers,62,42,False,7526,904
2000,Week 4,2000-05-06,REG,4,22,Milwaukee Mustangs,40,Grand Rapids Rampage,57,54,True,8146,905
2000,Week 4,2000-05-06,REG,4,25,San Jose SaberCats,23,Iowa Barnstormers,54,52,False,10201,907
2000,Week 4,2000-05-06,REG,4,36,Nashville Kats,21,Arizona Rattlers,66,46,False,13619,908
2000,Week 5,2000-05-11,REG,5,44,Los Angeles Avengers,21,Arizona Rattlers,28,55,False,13103,909
2000,Week 5,2000-05-12,REG,5,12,Tampa Bay Storm,13,Orlando Predators,43,44,False,13342,910
2000,Week 5,2000-05-12,REG,5,36,Nashville Kats,37,New Jersey Red Dogs,49,44,False,4107,915
2000,Week 5,2000-05-12,REG,5,42,Buffalo Destroyers,10,Albany Firebirds,23,75,False,8816,911
2000,Week 5,2000-05-12,REG,5,43,New England SeaWolves,22,Milwaukee Mustangs,45,59,False,13597,912
2000,Week 5,2000-05-12,REG,5,47,Oklahoma Wranglers,25,San Jose SaberCats,30,37,False,13063,913
2000,Week 5,2000-05-13,REG,5,23,Iowa Barnstormers,41,Houston ThunderBears,73,63,False,3133,916
2000,Week 5,2000-05-14,REG,5,45,Carolina Cobras,32,Florida Bobcats,42,47,False,2117,914
2000,Week 6,2000-05-18,REG,6,37,New Jersey Red Dogs,12,Tampa Bay Storm,26,40,False,8741,917
2000,Week 6,2000-05-19,REG,6,47,Oklahoma Wranglers,43,New England SeaWolves,42,49,False,5828,918
2000,Week 6,2000-05-19,REG,6,25,San Jose SaberCats,42,Buffalo Destroyers,61,35,False,5486,919
2000,Week 6,2000-05-19,REG,6,13,Orlando Predators,36,Nashville Kats,71,54,False,12423,920
2000,Week 6,2000-05-19,REG,6,41,Houston ThunderBears,44,Los Angeles Avengers,51,36,False,10781,921
2000,Week 6,2000-05-20,REG,6,21,Arizona Rattlers,10,Albany Firebirds,59,35,False,9725,922
2000,Week 6,2000-05-20,REG,6,40,Grand Rapids Rampage,32,Florida Bobcats,48,37,False,1913,923
2000,Week 6,2000-05-20,REG,6,22,Milwaukee Mustangs,23,Iowa Barnstormers,55,75,False,9995,924
2000,Week 7,2000-05-25,REG,7,12,Tampa Bay Storm,23,Iowa Barnstormers,34,52,False,9133,925
2000,Week 7,2000-05-26,REG,7,36,Nashville Kats,45,Carolina Cobras,60,28,False,13951,926
2000,Week 7,2000-05-26,REG,7,10,Albany Firebirds,37,New Jersey Red Dogs,63,55,False,4029,927
2000,Week 7,2000-05-26,REG,7,43,New England SeaWolves,42,Buffalo Destroyers,37,34,False,4203,928
2000,Week 7,2000-05-26,REG,7,13,Orlando Predators,47,Oklahoma Wranglers,35,28,False,9074,929
2000,Week 7,2000-05-26,REG,7,40,Grand Rapids Rampage,41,Houston ThunderBears,57,58,True,3133,932
2000,Week 7,2000-05-27,REG,7,22,Milwaukee Mustangs,21,Arizona Rattlers,49,64,False,14303,930
2000,Week 7,2000-05-27,REG,7,44,Los Angeles Avengers,25,San Jose SaberCats,25,78,False,14063,931
2000,Week 8,2000-06-01,REG,8,25,San Jose SaberCats,21,Arizona Rattlers,55,34,False,13369,933
2000,Week 8,2000-06-02,REG,8,45,Carolina Cobras,13,Orlando Predators,54,56,False,11540,934
2000,Week 8,2000-06-02,REG,8,42,Buffalo Destroyers,36,Nashville Kats,29,42,False,10542,935
2000,Week 8,2000-06-02,REG,8,23,Iowa Barnstormers,22,Milwaukee Mustangs,53,38,False,12409,940
2000,Week 8,2000-06-03,REG,8,41,Houston ThunderBears,10,Albany Firebirds,55,62,False,10024,936
2000,Week 8,2000-06-03,REG,8,37,New Jersey Red Dogs,40,Grand Rapids Rampage,59,52,False,8177,937
2000,Week 8,2000-06-03,REG,8,44,Los Angeles Avengers,43,New England SeaWolves,50,46,False,6112,938
2000,Week 8,2000-06-03,REG,8,32,Florida Bobcats,12,Tampa Bay Storm,26,77,False,12417,939
2000,Week 9,2000-06-08,REG,9,41,Houston ThunderBears,23,Iowa Barnstormers,61,66,False,9655,941
