season,current_week,date,game_type,week_num,away_team_id,away_team_name,home_team_id,home_team_name,away_team_score,home_team_score,is_overtime_game,attendance,game_id
1998,Week 1,1998-05-01,REG,1,40,Grand Rapids Rampage,13,Orlando Predators,27,42,False,13657,645
1998,Week 1,1998-05-01,REG,1,22,Milwaukee Mustangs,32,Florida Bobcats,54,47,False,2649,653
1998,Week 1,1998-05-01,REG,1,41,Houston ThunderBears,36,Nashville Kats,40,64,False,10080,655
1998,Week 1,1998-05-02,REG,1,12,Tampa Bay Storm,25,San Jose SaberCats,45,23,False,14028,652
1998,Week 1,1998-05-02,REG,1,35,Portland Forest Dragons,10,Albany Firebirds,58,65,False,10347,654
1998,Week 1,1998-05-03,REG,1,21,Arizona Rattlers,23,Iowa Barnstormers,61,40,False,8621,651
1998,Week 1,1998-05-04,REG,1,37,New Jersey Red Dogs,38,New York CityHawks,53,34,False,8271,650
1998,Week 2,1998-05-08,REG,2,13,Orlando Predators,22,Milwaukee Mustangs,54,44,False,17111,648
1998,Week 2,1998-05-08,REG,2,23,Iowa Barnstormers,40,Grand Rapids Rampage,27,45,False,10618,649
1998,Week 2,1998-05-09,REG,2,36,Nashville Kats,12,Tampa Bay Storm,54,52,False,9336,647
1998,Week 2,1998-05-09,REG,2,32,Florida Bobcats,41,Houston ThunderBears,35,41,False,4629,656
1998,Week 2,1998-05-09,REG,2,38,New York CityHawks,35,Portland Forest Dragons,38,47,False,10457,657
1998,Week 2,1998-05-09,REG,2,21,Arizona Rattlers,25,San Jose SaberCats,62,43,False,14299,658
1998,Week 2,1998-05-11,REG,2,10,Albany Firebirds,37,New Jersey Red Dogs,52,38,False,8817,659
1998,Week 3,1998-05-15,REG,3,37,New Jersey Red Dogs,36,Nashville Kats,42,46,False,11120,660
1998,Week 3,1998-05-15,REG,3,23,Iowa Barnstormers,13,Orlando Predators,6,28,False,14369,661
1998,Week 3,1998-05-16,REG,3,41,Houston ThunderBears,12,Tampa Bay Storm,25,56,False,10009,662
1998,Week 3,1998-05-16,REG,3,25,San Jose SaberCats,10,Albany Firebirds,30,56,False,10140,663
1998,Week 3,1998-05-16,REG,3,38,New York CityHawks,32,Florida Bobcats,42,38,False,2146,664
1998,Week 3,1998-05-16,REG,3,22,Milwaukee Mustangs,21,Arizona Rattlers,61,62,False,15318,665
1998,Week 3,1998-05-16,REG,3,40,Grand Rapids Rampage,35,Portland Forest Dragons,22,45,False,10975,666
1998,Week 4,1998-05-22,REG,4,37,New Jersey Red Dogs,22,Milwaukee Mustangs,60,56,False,14144,667
1998,Week 4,1998-05-22,REG,4,13,Orlando Predators,36,Nashville Kats,48,62,False,13182,668
1998,Week 4,1998-05-22,REG,4,21,Arizona Rattlers,41,Houston ThunderBears,58,57,False,3812,669
1998,Week 4,1998-05-23,REG,4,38,New York CityHawks,10,Albany Firebirds,57,46,False,10121,670
1998,Week 4,1998-05-23,REG,4,12,Tampa Bay Storm,32,Florida Bobcats,44,29,False,2062,671
1998,Week 4,1998-05-23,REG,4,35,Portland Forest Dragons,23,Iowa Barnstormers,53,47,False,9129,672
1998,Week 4,1998-05-23,REG,4,40,Grand Rapids Rampage,25,San Jose SaberCats,20,49,False,13773,673
