season,current_week,date,game_type,week_num,away_team_id,away_team_name,home_team_id,home_team_name,away_team_score,home_team_score,is_overtime_game,attendance,game_id
2010,Week 1,2010-04-02,REG,1,64,Chicago Rush,145,Iowa Barnstormers,61,43,False,12184,4445
2010,Week 1,2010-04-02,REG,1,215,Milwaukee Iron,149,Spokane Shock,74,62,False,10096,4506
2010,Week 1,2010-04-03,REG,1,151,Alabama Vipers,141,Bossier-Shreveport Battle Wings,48,54,False,2974,4414
2010,Week 1,2010-04-03,REG,1,21,Arizona Rattlers,131,Cleveland Gladiators,61,56,False,11688,4429
2010,Week 1,2010-04-03,REG,1,12,Tampa Bay Storm,152,Tulsa Talons,58,69,False,6688,4507
2010,Week 1,2010-04-03,REG,1,139,Jacksonville Sharks,147,Oklahoma City Yard Dawgz,54,38,False,5542,4496
2010,Week 2,2010-04-09,REG,2,131,Cleveland Gladiators,64,Chicago Rush,56,59,False,8075,4446
2010,Week 2,2010-04-09,REG,2,139,Jacksonville Sharks,151,Alabama Vipers,49,63,False,4007,4415
2010,Week 2,2010-04-09,REG,2,149,Spokane Shock,112,Utah Blaze,68,34,False,5032,4508
2010,Week 2,2010-04-10,REG,2,144,Dallas Vigilantes,152,Tulsa Talons,59,63,False,6108,4485
2010,Week 2,2010-04-10,REG,2,13,Orlando Predators,141,Bossier-Shreveport Battle Wings,67,73,False,3515,4459
2010,Week 3,2010-04-16,REG,3,144,Dallas Vigilantes,12,Tampa Bay Storm,41,54,False,14122,4486
2010,Week 3,2010-04-16,REG,3,13,Orlando Predators,139,Jacksonville Sharks,31,57,False,11179,4497
2010,Week 3,2010-04-16,REG,3,145,Iowa Barnstormers,215,Milwaukee Iron,48,65,False,5032,4509
2010,Week 3,2010-04-16,REG,3,64,Chicago Rush,21,Arizona Rattlers,70,56,False,14994,4430
2010,Week 3,2010-04-17,REG,3,131,Cleveland Gladiators,147,Oklahoma City Yard Dawgz,50,63,False,5422,4472
2010,Week 3,2010-04-17,REG,3,151,Alabama Vipers,112,Utah Blaze,63,54,False,4898,4416
2010,Week 3,2010-04-17,REG,3,141,Bossier-Shreveport Battle Wings,149,Spokane Shock,70,78,False,10378,4460
2010,Week 4,2010-04-23,REG,4,112,Utah Blaze,64,Chicago Rush,40,63,False,7459,4447
2010,Week 4,2010-04-23,REG,4,152,Tulsa Talons,21,Arizona Rattlers,76,77,False,10083,4431
2010,Week 4,2010-04-24,REG,4,147,Oklahoma City Yard Dawgz,145,Iowa Barnstormers,60,68,False,8312,4510
2010,Week 4,2010-04-25,REG,4,12,Tampa Bay Storm,215,Milwaukee Iron,61,72,False,4049,4511
2010,Week 5,2010-04-30,REG,5,145,Iowa Barnstormers,13,Orlando Predators,50,40,False,11076,4512
2010,Week 5,2010-04-30,REG,5,147,Oklahoma City Yard Dawgz,144,Dallas Vigilantes,34,55,False,7051,4487
2010,Week 5,2010-04-30,REG,5,141,Bossier-Shreveport Battle Wings,112,Utah Blaze,46,65,False,4256,4461
2010,Week 5,2010-05-01,REG,5,152,Tulsa Talons,139,Jacksonville Sharks,60,62,False,9352,4498
2010,Week 5,2010-05-01,REG,5,21,Arizona Rattlers,12,Tampa Bay Storm,61,62,False,12874,4432
2010,Week 5,2010-05-01,REG,5,215,Milwaukee Iron,151,Alabama Vipers,67,75,False,5170,4417
2010,Week 5,2010-05-01,REG,5,131,Cleveland Gladiators,149,Spokane Shock,72,68,False,9974,4473
2010,Week 6,2010-05-07,REG,6,139,Jacksonville Sharks,12,Tampa Bay Storm,46,43,False,14201,4499
2010,Week 6,2010-05-07,REG,6,64,Chicago Rush,215,Milwaukee Iron,48,71,False,5386,4448
2010,Week 6,2010-05-07,REG,6,13,Orlando Predators,144,Dallas Vigilantes,70,59,False,7108,4488
2010,Week 6,2010-05-07,REG,6,149,Spokane Shock,21,Arizona Rattlers,63,56,False,10203,4433
2010,Week 6,2010-05-08,REG,6,151,Alabama Vipers,152,Tulsa Talons,56,62,False,6941,4418
2010,Week 6,2010-05-08,REG,6,141,Bossier-Shreveport Battle Wings,147,Oklahoma City Yard Dawgz,79,88,False,4775,4462
2010,Week 6,2010-05-08,REG,6,131,Cleveland Gladiators,145,Iowa Barnstormers,70,56,False,8059,4474
2010,Week 7,2010-05-14,REG,7,144,Dallas Vigilantes,139,Jacksonville Sharks,49,70,False,10052,4489
2010,Week 7,2010-05-14,REG,7,112,Utah Blaze,215,Milwaukee Iron,55,56,True,6815,4513
2010,Week 7,2010-05-15,REG,7,152,Tulsa Talons,131,Cleveland Gladiators,55,68,False,8979,4475
2010,Week 7,2010-05-15,REG,7,145,Iowa Barnstormers,64,Chicago Rush,44,30,False,10363,4449
2010,Week 7,2010-05-15,REG,7,12,Tampa Bay Storm,141,Bossier-Shreveport Battle Wings,48,44,False,4784,4463
2010,Week 7,2010-05-15,REG,7,13,Orlando Predators,151,Alabama Vipers,48,31,False,4007,4413
2010,Week 7,2010-05-16,REG,7,149,Spokane Shock,147,Oklahoma City Yard Dawgz,68,63,False,4415,4514
2010,Week 8,2010-05-21,REG,8,215,Milwaukee Iron,13,Orlando Predators,54,58,False,10333,4515
2010,Week 8,2010-05-21,REG,8,21,Arizona Rattlers,145,Iowa Barnstormers,52,48,False,9912,4435
2010,Week 8,2010-05-22,REG,8,131,Cleveland Gladiators,139,Jacksonville Sharks,44,46,False,11715,4476
2010,Week 8,2010-05-22,REG,8,147,Oklahoma City Yard Dawgz,152,Tulsa Talons,41,67,False,7235,4516
2010,Week 8,2010-05-22,REG,8,141,Bossier-Shreveport Battle Wings,151,Alabama Vipers,19,56,False,3701,4419
2010,Week 8,2010-05-22,REG,8,64,Chicago Rush,144,Dallas Vigilantes,63,56,False,4583,4450
2010,Week 8,2010-05-22,REG,8,112,Utah Blaze,149,Spokane Shock,28,77,False,10481,4517
2010,Week 9,2010-05-28,REG,9,12,Tampa Bay Storm,13,Orlando Predators,62,50,False,10924,4500
2010,Week 9,2010-05-28,REG,9,151,Alabama Vipers,147,Oklahoma City Yard Dawgz,39,65,False,5139,4420
2010,Week 9,2010-05-28,REG,9,21,Arizona Rattlers,112,Utah Blaze,83,58,False,8501,4434
2010,Week 9,2010-05-29,REG,9,64,Chicago Rush,131,Cleveland Gladiators,52,49,False,8688,4451
2010,Week 9,2010-05-29,REG,9,144,Dallas Vigilantes,215,Milwaukee Iron,38,63,False,4251,4490
2010,Week 9,2010-05-29,REG,9,152,Tulsa Talons,141,Bossier-Shreveport Battle Wings,52,48,False,3173,4464
2010,Week 9,2010-05-29,REG,9,139,Jacksonville Sharks,149,Spokane Shock,57,67,False,10460,4501
2010,Week 10,2010-06-04,REG,10,112,Utah Blaze,131,Cleveland Gladiators,39,75,False,7751,4477
2010,Week 10,2010-06-04,REG,10,139,Jacksonville Sharks,64,Chicago Rush,64,56,False,7430,4452
2010,Week 10,2010-06-05,REG,10,147,Oklahoma City Yard Dawgz,12,Tampa Bay Storm,48,50,False,16200,4518
