season,current_week,date,game_type,week_num,away_team_id,away_team_name,home_team_id,home_team_name,away_team_score,home_team_score,is_overtime_game,attendance,game_id
1987,,1987-02-27,,0,241,Miami Vise,2,Chicago Bruisers,33,30,False,,5694
1987,,1987-06-12,,0,5,Pittsburgh Gladiators,2,Chicago Bruisers,20,9,False,,
1987,,1987-06-12,,0,3,Washington Commandos,4,Denver Dynamite,18,20,False,,
1987,Week 1,1987-06-19,REG,1,3,Washington Commandos,5,Pittsburgh Gladiators,46,48,False,12117,2
1987,Week 1,1987-06-20,REG,1,4,Denver Dynamite,2,Chicago Bruisers,52,44,True,10103,4
1987,Week 2,1987-06-26,REG,2,5,Pittsburgh Gladiators,2,Chicago Bruisers,60,23,False,7153,1
1987,Week 2,1987-06-27,REG,2,4,Denver Dynamite,3,Washington Commandos,20,36,False,13587,5
1987,Week 3,1987-07-02,REG,3,2,Chicago Bruisers,5,Pittsburgh Gladiators,14,49,False,11807,6
1987,Week 3,1987-07-03,REG,3,3,Washington Commandos,4,Denver Dynamite,57,73,False,10191,226
1987,Week 4,1987-07-10,REG,4,3,Washington Commandos,2,Chicago Bruisers,36,37,False,8653,7
1987,Week 4,1987-07-11,REG,4,5,Pittsburgh Gladiators,4,Denver Dynamite,49,32,False,12634,8
1987,Week 5,1987-07-16,REG,5,2,Chicago Bruisers,3,Washington Commandos,64,61,False,10122,9
1987,Week 5,1987-07-17,REG,5,4,Denver Dynamite,5,Pittsburgh Gladiators,32,31,False,14644,10
1987,Week 6,1987-07-23,REG,6,5,Pittsburgh Gladiators,3,Washington Commandos,31,52,False,10866,11
1987,Week 6,1987-07-24,REG,6,2,Chicago Bruisers,4,Denver Dynamite,35,52,False,13470,12
1987,ArenaBowl I,1987-08-01,POST,7,4,Denver Dynamite,5,Pittsburgh Gladiators,45,16,False,13232,13
