season,current_week,date,game_type,week_num,away_team_id,away_team_name,home_team_id,home_team_name,away_team_score,home_team_score,is_overtime_game,attendance,game_id
2008,Week 1,2008-02-29,REG,1,66,New Orleans VooDoo,44,Los Angeles Avengers,42,59,False,13209,3810
2008,Week 1,2008-03-01,REG,1,86,Dallas Desperados,95,Georgia Force,51,41,False,10224,3802
2008,Week 1,2008-03-01,REG,1,12,Tampa Bay Storm,115,Kansas City Brigade,51,49,False,13356,3818
2008,Week 1,2008-03-01,REG,1,13,Orlando Predators,99,Philadelphia Soul,56,77,False,17869,3826
2008,Week 1,2008-03-01,REG,1,21,Arizona Rattlers,112,Utah Blaze,63,62,False,15106,3834
2008,Week 1,2008-03-02,REG,1,103,Columbus Destroyers,98,Colorado Crush,47,50,False,9265,3842
2008,Week 1,2008-03-03,REG,1,72,New York Dragons,131,Cleveland Gladiators,49,61,False,17391,3850
2008,Week 1,2008-03-03,REG,1,25,San Jose SaberCats,64,Chicago Rush,47,70,False,15409,3858
2008,Week 2,2008-03-07,REG,2,95,Georgia Force,12,Tampa Bay Storm,48,69,False,18194,3927
2008,Week 2,2008-03-07,REG,2,103,Columbus Destroyers,86,Dallas Desperados,36,46,False,12432,3909
2008,Week 2,2008-03-09,REG,2,112,Utah Blaze,131,Cleveland Gladiators,63,66,False,14765,3855
2008,Week 2,2008-03-09,REG,2,99,Philadelphia Soul,64,Chicago Rush,60,49,False,16051,3861
2008,Week 2,2008-03-09,REG,2,13,Orlando Predators,66,New Orleans VooDoo,53,54,False,13042,3902
2008,Week 2,2008-03-09,REG,2,115,Kansas City Brigade,72,New York Dragons,47,50,False,10542,3919
2008,Week 2,2008-03-10,REG,2,25,San Jose SaberCats,40,Grand Rapids Rampage,66,58,False,5833,3871
2008,Week 2,2008-03-10,REG,2,44,Los Angeles Avengers,21,Arizona Rattlers,65,33,False,11532,3934
2008,Week 3,2008-03-14,REG,3,64,Chicago Rush,40,Grand Rapids Rampage,64,35,False,10594,3866
2008,Week 3,2008-03-14,REG,3,112,Utah Blaze,13,Orlando Predators,61,69,False,11861,3874
2008,Week 3,2008-03-15,REG,3,44,Los Angeles Avengers,95,Georgia Force,34,58,False,10156,3804
2008,Week 3,2008-03-15,REG,3,131,Cleveland Gladiators,103,Columbus Destroyers,59,57,False,15946,3882
2008,Week 3,2008-03-15,REG,3,21,Arizona Rattlers,25,San Jose SaberCats,43,63,False,13625,3890
2008,Week 3,2008-03-16,REG,3,72,New York Dragons,99,Philadelphia Soul,42,63,False,16102,3827
2008,Week 3,2008-03-16,REG,3,12,Tampa Bay Storm,66,New Orleans VooDoo,55,76,False,13011,3898
2008,Week 3,2008-03-17,REG,3,98,Colorado Crush,86,Dallas Desperados,40,51,False,12576,3906
2008,Week 4,2008-03-20,REG,4,99,Philadelphia Soul,44,Los Angeles Avengers,71,34,False,13398,3813
2008,Week 4,2008-03-21,REG,4,131,Cleveland Gladiators,66,New Orleans VooDoo,24,63,False,13027,3903
2008,Week 4,2008-03-21,REG,4,103,Columbus Destroyers,112,Utah Blaze,52,49,False,13717,3839
2008,Week 4,2008-03-21,REG,4,72,New York Dragons,21,Arizona Rattlers,33,62,False,11689,3935
2008,Week 4,2008-03-22,REG,4,95,Georgia Force,13,Orlando Predators,45,50,False,12107,3877
2008,Week 4,2008-03-22,REG,4,98,Colorado Crush,64,Chicago Rush,35,70,False,16036,3862
2008,Week 4,2008-03-22,REG,4,86,Dallas Desperados,25,San Jose SaberCats,59,56,False,11472,3895
2008,Week 4,2008-03-24,REG,4,40,Grand Rapids Rampage,115,Kansas City Brigade,92,52,False,12943,3823
2008,Week 5,2008-03-28,REG,5,21,Arizona Rattlers,64,Chicago Rush,35,59,False,15058,3859
2008,Week 5,2008-03-29,REG,5,12,Tampa Bay Storm,99,Philadelphia Soul,51,59,False,16179,3828
2008,Week 5,2008-03-29,REG,5,25,San Jose SaberCats,115,Kansas City Brigade,44,36,False,13146,3819
2008,Week 5,2008-03-29,REG,5,13,Orlando Predators,103,Columbus Destroyers,47,44,False,13035,3883
2008,Week 5,2008-03-29,REG,5,95,Georgia Force,112,Utah Blaze,70,49,False,15240,3835
2008,Week 5,2008-03-30,REG,5,44,Los Angeles Avengers,40,Grand Rapids Rampage,59,84,False,5818,3867
2008,Week 5,2008-03-30,REG,5,86,Dallas Desperados,72,New York Dragons,33,31,False,8216,3914
2008,Week 5,2008-03-30,REG,5,66,New Orleans VooDoo,98,Colorado Crush,54,51,False,10350,3843
2008,Week 6,2008-04-04,REG,6,115,Kansas City Brigade,95,Georgia Force,63,70,False,10052,3805
2008,Week 6,2008-04-04,REG,6,44,Los Angeles Avengers,98,Colorado Crush,54,67,False,11159,3846
2008,Week 6,2008-04-05,REG,6,112,Utah Blaze,99,Philadelphia Soul,56,64,False,16390,3831
2008,Week 6,2008-04-05,REG,6,12,Tampa Bay Storm,103,Columbus Destroyers,49,51,False,14256,3886
2008,Week 6,2008-04-05,REG,6,25,San Jose SaberCats,66,New Orleans VooDoo,43,72,False,14236,3904
2008,Week 6,2008-04-05,REG,6,40,Grand Rapids Rampage,72,New York Dragons,34,63,False,8211,3920
2008,Week 6,2008-04-05,REG,6,131,Cleveland Gladiators,86,Dallas Desperados,51,58,False,11497,3910
2008,Week 6,2008-04-06,REG,6,64,Chicago Rush,13,Orlando Predators,56,57,True,12483,3878
2008,Week 7,2008-04-11,REG,7,98,Colorado Crush,131,Cleveland Gladiators,69,66,False,15079,3851
2008,Week 7,2008-04-12,REG,7,66,New Orleans VooDoo,86,Dallas Desperados,44,55,False,12314,3913
2008,Week 7,2008-04-12,REG,7,112,Utah Blaze,44,Los Angeles Avengers,62,79,False,14861,3811
2008,Week 7,2008-04-12,REG,7,99,Philadelphia Soul,25,San Jose SaberCats,58,57,False,12462,3891
2008,Week 7,2008-04-13,REG,7,13,Orlando Predators,40,Grand Rapids Rampage,75,56,False,6946,3868
2008,Week 7,2008-04-13,REG,7,21,Arizona Rattlers,12,Tampa Bay Storm,63,62,False,16413,3922
2008,Week 7,2008-04-13,REG,7,103,Columbus Destroyers,72,New York Dragons,44,62,False,7346,3915
2008,Week 7,2008-04-14,REG,7,64,Chicago Rush,115,Kansas City Brigade,49,42,False,13184,3820
2008,Week 8,2008-04-18,REG,8,72,New York Dragons,12,Tampa Bay Storm,66,47,False,17104,3928
2008,Week 8,2008-04-18,REG,8,25,San Jose SaberCats,112,Utah Blaze,61,40,False,14701,3840
2008,Week 8,2008-04-18,REG,8,66,New Orleans VooDoo,21,Arizona Rattlers,60,36,False,11749,3936
2008,Week 8,2008-04-19,REG,8,98,Colorado Crush,115,Kansas City Brigade,53,55,False,14057,3824
2008,Week 8,2008-04-19,REG,8,13,Orlando Predators,95,Georgia Force,65,62,False,10079,3806
2008,Week 8,2008-04-19,REG,8,131,Cleveland Gladiators,44,Los Angeles Avengers,83,69,False,13863,3814
2008,Week 8,2008-04-20,REG,8,40,Grand Rapids Rampage,64,Chicago Rush,52,55,False,16112,3863
