season,game_id,team_id,team_name,loc,opp_team_id,opp_team_name,team_score,opp_score,is_overtime_game,player_id,player_name,passing_comp,passing_att,passing_comp_pct,passing_yds,passing_td,passing_int,passing_ypa,passing_ypc,passing_nfl_qbr,passing_cfb_qbr,rushing_att,rushing_yds,rushing_avg,rushing_td,receiving_rec,receiving_yds,receiving_avg,receiving_td,defense_tackles_solo,defense_tackles_ast,defense_tackles_total,defnese_passes_defended,defense_sacks,defense_sack_yds,defense_forced_fumbles,defense_fumble_recoveries,defense_interceptions,defense_interception_yds,defense_interception_avg,defense_interception_tds,kicking_XPM,kicking_XPA,kicking_XP%,kicking_FGM,kicking_FGA,kicking_FG%,kicking_2pt_M,kicking_2pt_A,kicking_2pt%,kicking_4pt_M,kicking_4pt_A,kicking_4pt%,kick_return_ret,kick_return_yds,kick_return_avg,kick_return_td,missed_fg_return_ret,missed_fg_return_yds,missed_fg_return_avg,missed_fg_return_td
1989,63,Chicago_Bruisers-2,Chicago Bruisers,A,Detroit_Drive-6,Detroit Drive,10,43,False,Ben_Bennett-113,Ben Bennett,11.0,31.0,0.3548387096774194,84.0,1.0,1.0,2.7096774193548385,7.636363636363637,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Chicago_Bruisers-2,Chicago Bruisers,A,Detroit_Drive-6,Detroit Drive,10,43,False,John_Welch-1679,John Welch,0.0,2.0,0.0,0.0,0.0,1.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Detroit_Drive-6,Detroit Drive,H,Chicago_Bruisers-2,Chicago Bruisers,43,10,False,Tony_Burris-234,Tony Burris,13.0,24.0,0.5416666666666666,170.0,3.0,0.0,7.083333333333333,13.076923076923077,0,0,2.0,11.0,5.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Chicago_Bruisers-2,Chicago Bruisers,A,Detroit_Drive-6,Detroit Drive,10,43,False,Reggie_Smith-1495,Reggie Smith,,,,,,,,,,,5.0,2.0,0.4,0.0,6.0,54.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,51.0,17.0,0.0,0.0,0.0,,0.0
1989,63,Chicago_Bruisers-2,Chicago Bruisers,A,Detroit_Drive-6,Detroit Drive,10,43,False,Jeff_Dole-435,Jeff Dole,,,,,,,,,,,4.0,18.0,4.5,0.0,,,,,4.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Chicago_Bruisers-2,Chicago Bruisers,A,Detroit_Drive-6,Detroit Drive,10,43,False,Osia_Lewis-961,Osia Lewis,,,,,,,,,,,2.0,17.0,8.5,0.0,,,,,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Chicago_Bruisers-2,Chicago Bruisers,A,Detroit_Drive-6,Detroit Drive,10,43,False,Carl_Aikens-15,Carl Aikens Jr,,,,,,,,,,,1.0,11.0,11.0,0.0,1.0,5.0,5.0,1.0,5.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Detroit_Drive-6,Detroit Drive,H,Chicago_Bruisers-2,Chicago Bruisers,43,10,False,Lynn_Bradford-171,Lynn Bradford,,,,,,,,,,,12.0,91.0,7.583333333333333,3.0,1.0,24.0,24.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Chicago_Bruisers-2,Chicago Bruisers,A,Detroit_Drive-6,Detroit Drive,10,43,False,Ken_Sanders-1408,Ken Sanders,,,,,,,,,,,,,,,4.0,25.0,6.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Detroit_Drive-6,Detroit Drive,H,Chicago_Bruisers-2,Chicago Bruisers,43,10,False,Dwayne_Dixon-426,Dwayne Dixon,,,,,,,,,,,,,,,6.0,51.0,8.5,0.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Detroit_Drive-6,Detroit Drive,H,Chicago_Bruisers-2,Chicago Bruisers,43,10,False,Gary_Mullen-1149,Gary Mullen,,,,,,,,,,,,,,,4.0,79.0,19.75,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Detroit_Drive-6,Detroit Drive,H,Chicago_Bruisers-2,Chicago Bruisers,43,10,False,George_LaFrance-932,George LaFrance,,,,,,,,,,,,,,,2.0,16.0,8.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.0,33.0,16.5,0.0,1.0,29.0,29.0,0.0
1989,63,Chicago_Bruisers-2,Chicago Bruisers,A,Detroit_Drive-6,Detroit Drive,10,43,False,Kennedy_Wilson-1732,Kennedy Wilson,,,,,,,,,,,,,,,,,,,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Chicago_Bruisers-2,Chicago Bruisers,A,Detroit_Drive-6,Detroit Drive,10,43,False,Steve_Thonn-1598,Steve Thonn,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Chicago_Bruisers-2,Chicago Bruisers,A,Detroit_Drive-6,Detroit Drive,10,43,False,Keith_Williams-1710,Keith Williams,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Chicago_Bruisers-2,Chicago Bruisers,A,Detroit_Drive-6,Detroit Drive,10,43,False,Dan_Sellers-1437,Dan Sellers,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Detroit_Drive-6,Detroit Drive,H,Chicago_Bruisers-2,Chicago Bruisers,43,10,False,Will_McClay-1035,Will McClay,,,,,,,,,,,,,,,,,,,9.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1989,63,Detroit_Drive-6,Detroit Drive,H,Chicago_Bruisers-2,Chicago Bruisers,43,10,False,Rodney_Beachum-95,Rodney Beachum,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,1.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
