season,game_id,team_id,team_name,loc,opp_team_id,opp_team_name,team_score,opp_score,is_overtime_game,player_id,player_name,passing_comp,passing_att,passing_comp_pct,passing_yds,passing_td,passing_int,passing_ypa,passing_ypc,passing_nfl_qbr,passing_cfb_qbr,rushing_att,rushing_yds,rushing_avg,rushing_td,receiving_rec,receiving_yds,receiving_avg,receiving_td,defense_tackles_solo,defense_tackles_ast,defense_tackles_total,defnese_passes_defended,defense_sacks,defense_sack_yds,defense_forced_fumbles,defense_fumble_recoveries,defense_interceptions,defense_interception_yds,defense_interception_avg,defense_interception_tds,kicking_XPM,kicking_XPA,kicking_XP%,kicking_FGM,kicking_FGA,kicking_FG%,kicking_2pt_M,kicking_2pt_A,kicking_2pt%,kicking_4pt_M,kicking_4pt_A,kicking_4pt%,kick_return_ret,kick_return_yds,kick_return_avg,kick_return_td,missed_fg_return_ret,missed_fg_return_yds,missed_fg_return_avg,missed_fg_return_td
1993,272,Tampa_Bay_Storm-12,Tampa Bay Storm,A,Detroit_Drive-6,Detroit Drive,51,31,False,Jay_Gruden-626,Jay Gruden,28.0,32.0,0.875,204.0,3.0,1.0,6.375,7.285714285714286,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,272,Tampa_Bay_Storm-12,Tampa Bay Storm,A,Detroit_Drive-6,Detroit Drive,51,31,False,Bobby_Byrd-242,Bobby Byrd,1.0,1.0,1.0,9.0,1.0,0.0,9.0,9.0,0,0,2.0,17.0,8.5,0.0,6.0,60.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,21.0,21.0,0.0,0.0,0.0,,0.0
1993,272,Detroit_Drive-6,Detroit Drive,H,Tampa_Bay_Storm-12,Tampa Bay Storm,31,51,False,Gilbert_Renfroe-1334,Gilbert Renfroe,15.0,26.0,0.5769230769230769,204.0,3.0,2.0,7.846153846153846,13.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,272,Tampa_Bay_Storm-12,Tampa Bay Storm,A,Detroit_Drive-6,Detroit Drive,51,31,False,Les_Barley-75,Les Barley,,,,,,,,,,,6.0,49.0,8.166666666666666,1.0,,,,,0.0,2.0,2.0,0.0,0.5,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1993,272,Tampa_Bay_Storm-12,Tampa Bay Storm,A,Detroit_Drive-6,Detroit Drive,51,31,False,Andre_Bowden-163,Andre Bowden,,,,,,,,,,,5.0,28.0,5.6,0.0,2.0,18.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,272,Tampa_Bay_Storm-12,Tampa Bay Storm,A,Detroit_Drive-6,Detroit Drive,51,31,False,Eddie_Brown-196,Eddie Brown,,,,,,,,,,,3.0,18.0,6.0,0.0,2.0,25.0,12.5,1.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1993,272,Tampa_Bay_Storm-12,Tampa Bay Storm,A,Detroit_Drive-6,Detroit Drive,51,31,False,Amod_Field-501,Amod Field,,,,,,,,,,,1.0,2.0,2.0,0.0,2.0,34.0,17.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,
1993,272,Tampa_Bay_Storm-12,Tampa Bay Storm,A,Detroit_Drive-6,Detroit Drive,51,31,False,Jeff_Mayes-1028,Jeff Mayes,,,,,,,,,,,1.0,2.0,2.0,0.0,2.0,31.0,15.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,0.0,0.0,0.0,,0.0
1993,272,Detroit_Drive-6,Detroit Drive,H,Tampa_Bay_Storm-12,Tampa Bay Storm,31,51,False,Tony_Burse-235,Tony Burse,,,,,,,,,,,8.0,21.0,2.625,1.0,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1993,272,Detroit_Drive-6,Detroit Drive,H,Tampa_Bay_Storm-12,Tampa Bay Storm,31,51,False,Alvin_Rettig-1337,Alvin Rettig,,,,,,,,,,,1.0,2.0,2.0,0.0,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
