season,game_id,team_id,team_name,loc,opp_team_id,opp_team_name,team_score,opp_score,is_overtime_game,player_id,player_name,passing_comp,passing_att,passing_comp_pct,passing_yds,passing_td,passing_int,passing_ypa,passing_ypc,passing_nfl_qbr,passing_cfb_qbr,rushing_att,rushing_yds,rushing_avg,rushing_td,receiving_rec,receiving_yds,receiving_avg,receiving_td,defense_tackles_solo,defense_tackles_ast,defense_tackles_total,defnese_passes_defended,defense_sacks,defense_sack_yds,defense_forced_fumbles,defense_fumble_recoveries,defense_interceptions,defense_interception_yds,defense_interception_avg,defense_interception_tds,kicking_XPM,kicking_XPA,kicking_XP%,kicking_FGM,kicking_FGA,kicking_FG%,kicking_2pt_M,kicking_2pt_A,kicking_2pt%,kicking_4pt_M,kicking_4pt_A,kicking_4pt%,kick_return_ret,kick_return_yds,kick_return_avg,kick_return_td,missed_fg_return_ret,missed_fg_return_yds,missed_fg_return_avg,missed_fg_return_td
2001,1293,Toronto_Phantoms-70,Toronto Phantoms,A,San_Jose_SaberCats-25,San Jose SaberCats,33,56,False,Pat_O_Hara-1186,Pat O`Hara,3.0,51.0,0.058823529411764705,16.0,0.0,0.0,0.3137254901960784,5.333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,Toronto_Phantoms-70,Toronto Phantoms,A,San_Jose_SaberCats-25,San Jose SaberCats,33,56,False,Bryan_Snyder-2740,Bryan Snyder,9.0,18.0,0.5,136.0,1.0,1.0,7.555555555555555,15.11111111111111,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,Toronto_Phantoms-70,Toronto Phantoms,A,San_Jose_SaberCats-25,San Jose SaberCats,33,56,False,Chad_Salisbury-2475,Chad Salisbury,6.0,12.0,0.5,80.0,3.0,0.0,6.666666666666667,13.333333333333334,0,0,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,John_Dutton-2308,John Dutton,15.0,22.0,0.6818181818181818,189.0,3.0,3.0,8.590909090909092,12.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,Mark_Garcia-2847,Mark Garcia,4.0,8.0,0.5,30.0,0.0,0.0,3.75,7.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,David_Muir-2850,David Muir,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,Toronto_Phantoms-70,Toronto Phantoms,A,San_Jose_SaberCats-25,San Jose SaberCats,33,56,False,Curtis_James-2732,Curtis James,,,,,,,,,,,2.0,4.0,2.0,0.0,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,Toronto_Phantoms-70,Toronto Phantoms,A,San_Jose_SaberCats-25,San Jose SaberCats,33,56,False,Jermaine_Younger-1928,Jermaine Younger,,,,,,,,,,,1.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,Joey_Dozier-2456,Joey Dozier,,,,,,,,,,,3.0,10.0,3.3333333333333335,2.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,Bob_McMillen-1070,Bob McMillen,,,,,,,,,,,2.0,17.0,8.5,0.0,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,Eddie_Diaz-2707,Eddie Diaz,,,,,,,,,,,2.0,5.0,2.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,Jacob_Howes-2708,Jacob Howes,,,,,,,,,,,2.0,-1.0,-0.5,0.0,,,,,3.0,1.0,4.0,0.0,1.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,Toronto_Phantoms-70,Toronto Phantoms,A,San_Jose_SaberCats-25,San Jose SaberCats,33,56,False,Jerald_Long-2338,Jerald Long,,,,,,,,,,,,,,,5.0,59.0,11.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,20.0,20.0,0.0,0.0,0.0,,0.0
2001,1293,Toronto_Phantoms-70,Toronto Phantoms,A,San_Jose_SaberCats-25,San Jose SaberCats,33,56,False,Deumaine_Reeder-2738,Deumaine Reeder,,,,,,,,,,,,,,,3.0,63.0,21.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,11.0,11.0,0.0,0.0,0.0,,0.0
2001,1293,Toronto_Phantoms-70,Toronto Phantoms,A,San_Jose_SaberCats-25,San Jose SaberCats,33,56,False,Ty_Law-943,Ty Law,,,,,,,,,,,,,,,2.0,43.0,21.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.0,48.0,12.0,0.0,0.0,0.0,,0.0
2001,1293,Toronto_Phantoms-70,Toronto Phantoms,A,San_Jose_SaberCats-25,San Jose SaberCats,33,56,False,Phil_Taylor-2742,Phil Taylor,,,,,,,,,,,,,,,2.0,23.0,11.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,Toronto_Phantoms-70,Toronto Phantoms,A,San_Jose_SaberCats-25,San Jose SaberCats,33,56,False,Kerry_Brown-202,Kerry Brown,,,,,,,,,,,,,,,2.0,18.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,Toronto_Phantoms-70,Toronto Phantoms,A,San_Jose_SaberCats-25,San Jose SaberCats,33,56,False,Damian_Harrell-1911,Damian Harrell,,,,,,,,,,,,,,,2.0,14.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,Toronto_Phantoms-70,Toronto Phantoms,A,San_Jose_SaberCats-25,San Jose SaberCats,33,56,False,Charlie_Davidson-388,Charlie Davidson,,,,,,,,,,,,,,,2.0,12.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,33.0,33.0,0.0,0.0,0.0,,0.0
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,James_Roe-2311,James Roe,,,,,,,,,,,,,,,4.0,54.0,13.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,Omarr_Smith-2455,Omarr Smith,,,,,,,,,,,,,,,4.0,32.0,8.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,Shalon_Baker-64,Shalon Baker,,,,,,,,,,,,,,,3.0,46.0,15.333333333333334,1.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,Barry_Wagner-1637,Barry Wagner,,,,,,,,,,,,,,,3.0,13.0,4.333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,Steve_Papin-1215,Steve Papin,,,,,,,,,,,,,,,2.0,23.0,11.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,56.0,56.0,1.0,0.0,0.0,,0.0
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,Tyrone_Taylor-2388,Tyrone Taylor,,,,,,,,,,,,,,,2.0,18.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,201.0,33.5,1.0,2.0,38.0,19.0,0.0
2001,1293,San_Jose_SaberCats-25,San Jose SaberCats,H,Toronto_Phantoms-70,Toronto Phantoms,56,33,False,Jerry_Reese-1328,Jerry Reese,,,,,,,,,,,,,,,1.0,33.0,33.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,
