season,game_id,team_id,team_name,loc,opp_team_id,opp_team_name,team_score,opp_score,is_overtime_game,player_id,player_name,passing_comp,passing_att,passing_comp_pct,passing_yds,passing_td,passing_int,passing_ypa,passing_ypc,passing_nfl_qbr,passing_cfb_qbr,rushing_att,rushing_yds,rushing_avg,rushing_td,receiving_rec,receiving_yds,receiving_avg,receiving_td,defense_tackles_solo,defense_tackles_ast,defense_tackles_total,defnese_passes_defended,defense_sacks,defense_sack_yds,defense_forced_fumbles,defense_fumble_recoveries,defense_interceptions,defense_interception_yds,defense_interception_avg,defense_interception_tds,kicking_XPM,kicking_XPA,kicking_XP%,kicking_FGM,kicking_FGA,kicking_FG%,kicking_2pt_M,kicking_2pt_A,kicking_2pt%,kicking_4pt_M,kicking_4pt_A,kicking_4pt%,kick_return_ret,kick_return_yds,kick_return_avg,kick_return_td,missed_fg_return_ret,missed_fg_return_yds,missed_fg_return_avg,missed_fg_return_td
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Pat_O_Hara-1186,Pat O`Hara,8.0,25.0,0.32,114.0,1.0,1.0,4.56,14.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,PT_Willis-1726,PT Willis,16.0,31.0,0.5161290322580645,213.0,4.0,6.0,6.870967741935484,13.3125,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Rick_Hamilton-655,Rick Hamilton,,,,,,,,,,,6.0,82.0,13.666666666666666,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Bill_Hall-645,Bill Hall,,,,,,,,,,,4.0,12.0,3.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Robert_Gordon-595,Robert Gordon,,,,,,,,,,,3.0,26.0,8.666666666666666,0.0,3.0,26.0,8.666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,7.0,1.0,0.0,0.0,,0.0
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Barry_Wagner-1637,Barry Wagner,,,,,,,,,,,2.0,1.0,0.5,0.0,3.0,47.0,15.666666666666666,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,,,,,,,,,,,,,4.0,106.0,26.5,0.0,1.0,48.0,48.0,1.0
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Connell_Maynor-1029,Connell Maynor,,,,,,,,,,,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Tommy_Dorsey-442,Tommy Dorsey,,,,,,,,,,,1.0,3.0,3.0,0.0,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Andre_Bowden-163,Andre Bowden,,,,,,,,,,,2.0,4.0,2.0,0.0,,,,,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Les_Barley-75,Les Barley,,,,,,,,,,,1.0,-2.0,-2.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Ty_Law-943,Ty Law,,,,,,,,,,,,,,,2.0,24.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Bret_Cooper-334,Bret Cooper,,,,,,,,,,,,,,,1.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,George_LaFrance-932,George LaFrance,,,,,,,,,,,,,,,6.0,88.0,14.666666666666666,3.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,82.0,13.666666666666666,0.0,0.0,0.0,,0.0
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Lawrence_Samuels-1405,Lawrence Samuels,,,,,,,,,,,,,,,5.0,63.0,12.6,0.0,3.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Stevie_Thomas-1590,Stevie Thomas,,,,,,,,,,,,,,,2.0,29.0,14.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Wayne_Williams-1720,Wayne Williams,,,,,,,,,,,,,,,2.0,23.0,11.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Antoine_Worthman-1755,Antoine Worthman,,,,,,,,,,,,,,,1.0,10.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,20.0,20.0,0.0,0.0,0.0,,0.0
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Chris_Barber-72,Chris Barber,,,,,,,,,,,,,,,,,,,3.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,22.0,7.333333333333333,0.0,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Kenny_McEntyre-1049,Kenny McEntyre,,,,,,,,,,,,,,,,,,,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Webbie_Burnett-231,Webbie Burnett,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Rich_McKenzie-1061,Rich McKenzie,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Damon_Mason-1021,Damon Mason,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,22.0,1.0,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Connell_Spain-1509,Connell Spain,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Matt_Storm-1545,Matt Storm,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,Eric_Drakes-447,Eric Drakes,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Johnnie_Harris-676,Johnnie Harris,,,,,,,,,,,,,,,,,,,4.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Corey_Dowden-446,Corey Dowden,,,,,,,,,,,,,,,,,,,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Pig_Goff-587,Pig Goff,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,2.0,1.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Steve_Houghton-754,Steve Houghton,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Tracey_Perkins-1244,Tracey Perkins,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Mel_Agee-14,Mel Agee,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Lynn_Rowland-1387,Lynn Rowland,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Willie_Wyatt-1763,Willie Wyatt,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,750,Orlando_Predators-13,Orlando Predators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,62,31,False,David_Cool-332,David Cool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,0.75,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1998,750,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Orlando_Predators-13,Orlando Predators,31,62,False,Bjorn_Nittmo-1175,Bjorn Nittmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
