season,game_id,team_id,team_name,loc,opp_team_id,opp_team_name,team_score,opp_score,is_overtime_game,player_id,player_name,passing_comp,passing_att,passing_comp_pct,passing_yds,passing_td,passing_int,passing_ypa,passing_ypc,passing_nfl_qbr,passing_cfb_qbr,rushing_att,rushing_yds,rushing_avg,rushing_td,receiving_rec,receiving_yds,receiving_avg,receiving_td,defense_tackles_solo,defense_tackles_ast,defense_tackles_total,defnese_passes_defended,defense_sacks,defense_sack_yds,defense_forced_fumbles,defense_fumble_recoveries,defense_interceptions,defense_interception_yds,defense_interception_avg,defense_interception_tds,kicking_XPM,kicking_XPA,kicking_XP%,kicking_FGM,kicking_FGA,kicking_FG%,kicking_2pt_M,kicking_2pt_A,kicking_2pt%,kicking_4pt_M,kicking_4pt_A,kicking_4pt%,kick_return_ret,kick_return_yds,kick_return_avg,kick_return_td,missed_fg_return_ret,missed_fg_return_yds,missed_fg_return_avg,missed_fg_return_td
2015,5377,Cleveland_Gladiators-131,Cleveland Gladiators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,60,44,False,Shane_Austin-12673,Shane Austin,19.0,31.0,0.6129032258064516,221.0,7.0,1.0,7.129032258064516,11.631578947368421,0,0,2.0,10.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,5377,Cleveland_Gladiators-131,Cleveland Gladiators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,60,44,False,Chris_Dieker-12324,Chris Dieker,1.0,1.0,1.0,7.0,0.0,0.0,7.0,7.0,0,0,3.0,1.0,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,5377,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Cleveland_Gladiators-131,Cleveland Gladiators,44,60,False,Jason_Boltus-12489,Jason Boltus,30.0,55.0,0.5454545454545454,383.0,6.0,1.0,6.963636363636364,12.766666666666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,5377,Cleveland_Gladiators-131,Cleveland Gladiators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,60,44,False,Collin_Taylor-11296,Collin Taylor,,,,,,,,,,,2.0,10.0,5.0,0.0,5.0,52.0,10.4,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2015,5377,Cleveland_Gladiators-131,Cleveland Gladiators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,60,44,False,Amarri_Jackson-11754,Amarri Jackson,,,,,,,,,,,1.0,8.0,8.0,1.0,4.0,51.0,12.75,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2015,5377,Cleveland_Gladiators-131,Cleveland Gladiators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,60,44,False,Chad_Schofield-12589,Chad Schofield,,,,,,,,,,,1.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,5377,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Cleveland_Gladiators-131,Cleveland Gladiators,44,60,False,Kendrick_Ings-13274,Kendrick Ings,,,,,,,,,,,1.0,1.0,1.0,0.0,6.0,90.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,114.0,16.285714285714285,0.0,0.0,0.0,,0.0
2015,5377,Cleveland_Gladiators-131,Cleveland Gladiators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,60,44,False,Dominick_Goodman-11666,Dominick Goodman,,,,,,,,,,,,,,,9.0,94.0,10.444444444444445,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,5377,Cleveland_Gladiators-131,Cleveland Gladiators,A,Tampa_Bay_Storm-12,Tampa Bay Storm,60,44,False,Andrae_Thurman-10389,Andrae Thurman,,,,,,,,,,,,,,,2.0,31.0,15.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,65.0,16.25,0.0,0.0,0.0,,0.0
2015,5377,Tampa_Bay_Storm-12,Tampa Bay Storm,H,Cleveland_Gladiators-131,Cleveland Gladiators,44,60,False,TT_Toliver-3247,TT Toliver,,,,,,,,,,,,,,,12.0,161.0,13.416666666666666,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
